panel_id,week,tg,ii,age,income,education,gender,t_kakao_talk,t_anipang,t_kakao_story,t_kakao_game,n_kakao_game,t_non_kakao_game,n_non_kakao_game,t_non_kakao_story,n_non_kakao_story,t_non_kakao_talk,n_non_kakao_talk,t_non_kakao,n_non_kakao
11375,1,0,0,2,2,3,Female,17103,0,0,0,0,0,0,34,1,628,2,34279,30
11375,2,0,0,2,2,3,Female,8102,0,0,0,0,333,1,597,1,742,3,36951,33
11383,1,0,0,1,2,1,Female,13995,0,814,0,0,0,0,805,2,689,1,39322,46
11383,2,0,0,1,2,1,Female,2150,0,706,0,0,0,0,574,2,654,1,74100,41
11391,1,0,0,5,3,2,Female,1999,0,154,0,0,0,0,0,0,1569,3,13927,18
11391,2,0,0,5,3,2,Female,673,0,25,0,0,251,1,0,0,1684,3,20314,31
11392,1,0,0,1,4,1,Female,8577,0,846,0,0,10866,2,0,0,4099,2,180738,27
11392,2,0,0,1,4,1,Female,1485,0,867,0,0,10699,7,153,1,1256,3,120943,33
11393,1,0,0,4,4,4,Female,1543,0,0,0,0,821,1,0,0,1830,1,7884,16
11393,2,0,0,4,4,4,Female,966,0,0,0,0,0,0,0,0,2031,2,5880,17
11407,1,0,0,1,4,1,Male,28386,0,9053,0,0,5805,3,30,1,752,2,48545,23
11407,2,0,0,1,4,1,Male,46243,0,24422,0,0,589,3,0,0,176,3,45713,23
11447,1,0,0,2,3,3,Male,12634,0,0,0,0,0,0,701,2,2760,3,31315,22
11447,2,0,0,2,3,3,Male,44610,0,0,0,0,0,0,157,1,83,2,59559,20
11507,1,0,0,3,3,2,Male,3810,0,2239,0,0,0,0,608,2,3892,3,42252,34
11507,2,0,0,3,3,2,Male,10247,0,2011,0,0,0,0,226,2,1645,2,49833,27
11522,1,0,0,3,4,3,Male,6658,0,0,0,0,25395,4,0,0,9614,6,58942,31
11522,2,0,0,3,4,3,Male,836,0,0,0,0,1062,1,0,0,28326,3,81013,13
11561,1,0,0,3,2,2,Male,3530,0,59,0,0,4677,2,0,0,663,3,48970,27
11561,2,0,0,3,2,2,Male,3119,0,373,632,1,2869,2,0,0,1694,2,36983,34
11580,1,0,0,4,3,4,Male,6983,0,259,0,0,2791,7,0,0,58837,2,99478,29
11580,2,0,0,4,3,4,Male,1186,0,0,0,0,606,2,13,1,1797,2,39702,20
11583,1,0,0,1,4,1,Female,8577,0,846,0,0,10866,2,0,0,4099,2,180738,27
11583,2,0,0,1,4,1,Female,1485,0,867,0,0,10699,7,153,1,1256,3,120943,33
1159,1,0,0,5,4,4,Male,0,0,0,0,0,0,0,0,0,2406,1,69640,13
1159,2,0,0,5,4,4,Male,0,0,0,0,0,0,0,0,0,7043,1,88443,12
11673,1,0,0,1,2,1,Female,13995,0,814,0,0,0,0,805,2,689,1,39322,46
11673,2,0,0,1,2,1,Female,2150,0,706,0,0,0,0,574,2,654,1,74100,41
1169,1,0,0,3,4,4,Male,0,0,0,0,0,0,0,0,0,4496,2,21989,21
1169,2,0,0,3,4,4,Male,0,0,0,0,0,0,0,0,0,3642,2,28454,14
11700,1,0,0,1,3,1,Male,1713,0,167,0,0,0,0,20258,1,1201,1,62496,21
11700,2,0,0,1,3,1,Male,4714,0,484,0,0,0,0,14411,1,3759,1,70896,23
11743,1,0,0,3,3,4,Male,1420,0,0,0,0,0,0,70,1,11156,1,34415,21
11743,2,0,0,3,3,4,Male,1189,0,3,0,0,0,0,0,0,4248,1,62150,23
11745,1,0,0,3,3,4,Male,1788,0,2560,0,0,0,0,0,0,385,1,2943,7
11745,2,0,0,3,3,4,Male,748,0,1283,0,0,0,0,0,0,260,1,4049,12
11783,1,0,0,3,3,3,Female,0,0,0,0,0,0,0,0,0,840,1,11033,13
11783,2,0,0,3,3,3,Female,0,0,0,0,0,0,0,0,0,1388,1,19510,8
11795,1,0,0,1,2,1,Female,13995,0,814,0,0,0,0,805,2,689,1,39322,46
11795,2,0,0,1,2,1,Female,2150,0,706,0,0,0,0,574,2,654,1,74100,41
11796,1,0,0,4,3,2,Female,123,0,0,0,0,0,0,0,0,4995,1,25940,15
11796,2,0,0,4,3,2,Female,8427,0,0,0,0,0,0,0,0,5872,1,7323,13
11852,1,1,0,2,2,3,Female,12190,0,0,0,0,4412,5,0,0,2269,2,25875,29
11852,2,1,1,2,2,3,Female,9562,588,0,900,1,7084,4,0,0,5794,2,36803,27
11892,1,0,0,3,3,4,Female,32616,0,6288,0,0,2403,9,0,0,5803,4,36252,50
11892,2,0,0,3,3,4,Female,26639,0,8825,0,0,15,1,0,0,5646,5,55971,33
11903,1,0,0,2,1,3,Female,12924,0,0,0,0,0,0,0,0,382,1,4328,10
11903,2,0,0,2,1,3,Female,12812,0,0,0,0,0,0,1087,1,788,1,27073,22
1194,1,1,0,3,3,4,Male,5803,0,0,0,0,5693,1,0,0,4893,2,61931,22
1194,2,1,1,3,3,4,Male,11190,2051,0,30847,2,2496,2,0,0,2832,3,33205,29
11990,1,0,0,4,2,2,Female,16938,0,0,0,0,16166,1,0,0,457,1,34684,16
11990,2,0,0,4,2,2,Female,3319,0,0,0,0,14967,1,0,0,554,1,30357,14
12000,1,0,0,2,2,4,Female,30739,0,3707,0,0,0,0,30021,3,1936,4,79252,43
